combo_name,combo_label,is_baseline,weights_json,min_ret5,avg_ret5,worst_mdd5,avg_sharpe5,ret5_20250101,mdd5_20250101,sharpe5_20250101,ret5_20260101,mdd5_20260101,sharpe5_20260101
backtest_postmarket_w10_ranking_momentum_w20_margin_w5_buyback,排名动量+融资融券+回购,False,"{""buyback"": 5.0, ""margin"": 15.0, ""ranking_momentum"": 7.5}",0.06799015199999996,3.919827356,0.1938393872789095,2.1598460673578375,7.77166456,0.18472061688258712,3.710978870486826,0.06799015199999996,0.1938393872789095,0.6087132642288487
backtest_postmarket_w10_ranking_momentum_w20_margin_w5_buyback,排名动量+融资融券+回购,False,"{""buyback"": 5.0, ""margin"": 15.0, ""ranking_momentum"": 10.0}",-0.0015892259999999777,2.7157431290000003,0.1981716567122186,1.6922692365016991,5.433075484000001,0.1981716567122186,3.301444706966848,-0.0015892259999999777,0.19679012296622267,0.08309376603655018
backtest_postmarket_w10_ranking_momentum_w20_margin_w5_buyback,排名动量+融资融券+回购,False,"{""buyback"": 5.0, ""margin"": 15.0, ""ranking_momentum"": 12.5}",0.0833581539999999,2.7559938870000003,0.2144634559409268,2.0756680484289287,5.428629620000001,0.20948131323760957,3.416756266157721,0.0833581539999999,0.2144634559409268,0.734579830700136
backtest_postmarket_w10_ranking_momentum_w20_margin_w5_buyback,排名动量+融资融券+回购,False,"{""buyback"": 5.0, ""margin"": 20.0, ""ranking_momentum"": 7.5}",0.04801145,4.627835751,0.18644992381726355,2.1721695371019067,9.207660052,0.17583160324409208,3.879604515686992,0.04801145,0.18644992381726355,0.4647345585168213
backtest_postmarket_w10_ranking_momentum_w20_margin_w5_buyback,排名动量+融资融券+回购,True,"{""buyback"": 5.0, ""margin"": 20.0, ""ranking_momentum"": 10.0}",0.07425843599999994,4.026843325,0.19927906590137648,2.2041431812171597,7.979428214,0.1925387245089104,3.7607117747042285,0.07425843599999994,0.19927906590137648,0.6475745877300909
backtest_postmarket_w10_ranking_momentum_w20_margin_w5_buyback,排名动量+融资融券+回购,False,"{""buyback"": 5.0, ""margin"": 20.0, ""ranking_momentum"": 12.5}",-0.03601923200000003,2.5410314190000003,0.2195641843716656,1.5372463379298553,5.118082070000001,0.21612868782883082,3.2593448115038455,-0.03601923200000003,0.2195641843716656,-0.18485213564413489
backtest_postmarket_w10_ranking_momentum_w20_margin_w5_buyback,排名动量+融资融券+回购,False,"{""buyback"": 5.0, ""margin"": 25.0, ""ranking_momentum"": 7.5}",0.07433410600000005,4.838030884,0.2077846252936091,2.2439933443060776,9.601727662,0.2077846252936091,3.851019469922357,0.07433410600000005,0.19256297685017917,0.6369672186897982
backtest_postmarket_w10_ranking_momentum_w20_margin_w5_buyback,排名动量+融资融券+回购,False,"{""buyback"": 5.0, ""margin"": 25.0, ""ranking_momentum"": 10.0}",0.08409385600000005,4.728813186,0.21652010912517533,2.290371710886135,9.373532516,0.21652010912517533,3.876939285350126,0.08409385600000005,0.20900784022040636,0.7038041364221435
backtest_postmarket_w10_ranking_momentum_w20_margin_w5_buyback,排名动量+融资融券+回购,False,"{""buyback"": 5.0, ""margin"": 25.0, ""ranking_momentum"": 12.5}",0.07799329600000009,4.542524745000001,0.18271945228943345,2.2786097500976283,9.007056194,0.17887930029840135,3.8907263194521926,0.07799329600000009,0.18271945228943345,0.6664931807430642
backtest_postmarket_w10_ranking_momentum_w20_margin_w5_buyback,排名动量+融资融券+回购,False,"{""buyback"": 6.2, ""margin"": 15.0, ""ranking_momentum"": 7.5}",0.031088580000000074,3.830935534,0.19398274850223304,1.9954022370022164,7.6307824879999995,0.18352417346993438,3.6458737884319667,0.031088580000000074,0.19398274850223304,0.3449306855724662
backtest_postmarket_w10_ranking_momentum_w20_margin_w5_buyback,排名动量+融资融券+回购,False,"{""buyback"": 6.2, ""margin"": 15.0, ""ranking_momentum"": 10.0}",0.010406848000000045,2.6718332989999998,0.20472607498761003,1.7368595965732891,5.33325975,0.20174009451474598,3.290757115394504,0.010406848000000045,0.20472607498761003,0.18296207775207424
backtest_postmarket_w10_ranking_momentum_w20_margin_w5_buyback,排名动量+融资融券+回购,False,"{""buyback"": 6.2, ""margin"": 15.0, ""ranking_momentum"": 12.5}",0.06995617200000007,2.9029230740000003,0.2030218736325405,2.038495579260724,5.735889976,0.2030218736325405,3.4311592727390177,0.06995617200000007,0.2020380627146402,0.6458318857824306
backtest_postmarket_w10_ranking_momentum_w20_margin_w5_buyback,排名动量+融资融券+回购,False,"{""buyback"": 6.2, ""margin"": 20.0, ""ranking_momentum"": 7.5}",0.04526714399999995,4.590574762,0.18622745219015438,2.136879134443189,9.13588238,0.1764435296857099,3.8273511113442793,0.04526714399999995,0.18622745219015438,0.446407157542099
backtest_postmarket_w10_ranking_momentum_w20_margin_w5_buyback,排名动量+融资融券+回购,False,"{""buyback"": 6.2, ""margin"": 20.0, ""ranking_momentum"": 10.0}",0.08330289800000004,3.763598171,0.18895160803999658,2.1796277183073696,7.4438934439999995,0.1800553753210694,3.6416956088156733,0.08330289800000004,0.18895160803999658,0.7175598277990655
