rank,combo_size,factors_key,label,ret5,ann5,sharpe5,mdd5,win5,trades5,ret1,ret3,ret10,ret20
1,3,profit_forecast+insider_buy+performance,盈利预测+高管增持+业绩,2.043352588,17.569478619527196,4.912957595796412,0.2196325084303713,0.6741573033707865,89,2.1355810579999996,2.1834274160000002,1.523394014,1.2164765039999998
2,3,profit_forecast+buyback+insider_buy,盈利预测+回购+高管增持,1.498975,10.069423863088943,4.626731774644399,0.13524558048079124,0.7415730337078652,89,1.4263164,1.4597378,1.6018586,1.4711432
3,4,profit_forecast+margin+institution_hold+performance,盈利预测+融资融券+机构持股+业绩,1.364703596,8.575553089782385,3.3182255014479054,0.20868079959169927,0.6853932584269663,89,1.067629252,1.3547673379999998,1.0086663519999999,1.140935
4,5,profit_forecast+margin+institution_hold+insider_buy+performance,盈利预测+融资融券+机构持股+高管增持+业绩,1.364703596,8.575553089782385,3.3182255014479054,0.20868079959169927,0.6853932584269663,89,1.067629252,1.3547673379999998,1.0086663519999999,1.140935
5,3,institution_hold+buyback+insider_buy,机构持股+回购+高管增持,1.2649258,7.550995829203659,2.955558860721875,0.2095930896768638,0.6404494382022472,89,1.1863754,1.3090194,1.4343252,1.4584282
6,5,profit_forecast+margin+institution_hold+buyback+performance,盈利预测+融资融券+机构持股+回购+业绩,1.0229702,5.356563633487585,2.6785552846779033,0.21828542440590595,0.6404494382022472,89,0.7754596,0.887617,1.1951268,1.35642
7,3,institution_hold+buyback+performance,机构持股+回购+业绩,1.0110654,5.258838704334623,2.9134110816490804,0.20868079959169927,0.6404494382022472,89,0.7443908,0.7764838,0.785021,0.9979582
8,4,institution_hold+buyback+insider_buy+performance,机构持股+回购+高管增持+业绩,1.0110654,5.258838704334623,2.9134110816490804,0.20868079959169927,0.6404494382022472,89,0.7443908,0.7764838,0.785021,0.9979582
9,3,profit_forecast+margin+institution_hold,盈利预测+融资融券+机构持股,0.9694312,4.924403586796935,2.583369849945271,0.2126720040246533,0.6292134831460674,89,1.241755,0.9480782,1.1906004,1.3949752
10,4,profit_forecast+margin+institution_hold+insider_buy,盈利预测+融资融券+机构持股+高管增持,0.9694312,4.924403586796935,2.583369849945271,0.2126720040246533,0.6292134831460674,89,1.241755,0.9480782,1.1906004,1.3949752
